ext_id,current_name,former_name,type,document,district,guide_area,year_1956,year_1946,year_1940,year_1936,uuid
750,Sirius,Sirius,str.,,Spital-Soarelui,"F7, F8",,,,,a50a43bb-2e75-48a3-9075-0a879e841e26
754,Smeurişului,Smeurişului,alee,,Dâmboviţa,B7,,,,,8ac76101-5e20-403e-98b4-4f3d0f878596
755,Snagov,Sngov,str.,,Kiriac,"C7, C8",Frimu Ioan,Frimu Ioan,Frimu Ioan,Frimu Ioan,2afb1a5e-3ee5-4caf-bb35-9586c85efb2a
756,Soarelui,Soarelui,str.,,Lunei,"F4, G4,G5",Soarelui,Soarelui,Soarelui,Soarelui,a392d437-bd74-43cf-98ac-1bbd3b14a5fd
757,Socrate,Socrate,str.,,Campus Univ.,E5,Socrates,Socrates,Socrates,Socrates,34e9ed02-fdeb-4c8d-9622-427440d1bd98
758,Sofocle,Sofocle,splai,,Parc Ind.Andreescu,"Y7,Y8,Z7,A",Sofocle,,,,5f82acc9-5953-48dd-b0cf-73e667c80148
759,Someş,Someş,str.,,Stadion,"F5,F6",Someş,Someş,Someşul,Someş,a293152e-546d-4de8-90d5-ff1c276b1fcd
761,Sorin Titel,Leningrad,str.,DEC.505/1990,Piaţa Crucii,D6,Leningrad,Bădescu Vlădica,,Bădescu Vlădica,b05f7e48-1cd4-4aea-a2bb-4457d4efa853
588,Soroca,Operetei,str.,HCJ 23/1993,Bucovina,C 1,,,,,bb60dd94-c567-49a5-80c4-d9b9312940d6
762,Sovata,Sovata,str.,,Kuncz,"H5,H6",Sovata,Sovata,Sovata,Sovata,71422698-fa0e-4fb8-bc0f-a0f9a6abf6e3
764,Spartacus,Spartachiadei,str.,HCJ 23/1993,Ghiroda,I 2,,,,,8aad3a06-5ec2-4a8c-bf8d-e589d6441cda
765,Spătarul Milescu,Spătarul Milescu,str.,,Ciarda Roşie,H9,Milescu Spătarul,,,,88e139f8-43ed-43a1-8ac0-03d02dc2f533
766,Speranţei,Speranţei,alee,,Aradului,D1,,,,,5e1f3932-ba1c-474e-924d-2402e9051687
768,Spiru Haret,Spiru Haret,splai,,Cetate,"C5, D5",,,Spiru Haret-splai,,aee3ae8e-81fa-49f2-bc63-15a2126f5320
1196,Stan Vidrighin,"Buziaşului (Nr.2-16,Nr. 1-9A)",cale,HCJ 23/1993,Platf.Ind.C. Buziaşului,"G5, G8",,,,,e3f11a65-50a0-408a-8ce9-57f8cd8f93fa
771,Steaua,Steaua,str.,,Steaua,"B10, B11",,,,,352eb528-a132-4e8f-8382-d18e4433e7f5
773,Stejarul,Stejarul,str.,,Stadion,F6,Stejarul,Stejarul,Stejari,Stejarul,31482d8b-8ad0-4aa5-9562-cc6d97b4b0ca
774,Stelelor,Stelelor,str.,,Circumv.Ii-Iv,C2,,,,,8835c526-b4d2-4853-8aec-2ec916a5ce31
1197,Storojineţ,Din Str.Cernăuţi-Matei Basarab,str.,HCJ 23/1993,Bucovina,B1,,,,,d27c5012-3e59-43a4-9126-15dff2c20420
779,Studenţilor,Studenţilor,alee,,Campus Univ.,E5,,,,,a84ee2c8-a029-40ea-9cff-35049d3f1dc0
780,Stuparilor,Stuparilor,str.,,Viilor,"E1, F1",Konig,Konig,Honig,Konig,8f71347e-fade-4e51-805c-be3df3567c0c
781,Subuleasa,Subuleasa,str.,,Kuncz,"G5, H5",Subuleasa,,,,74fc1050-f966-4f32-8d00-8c5311342086
782,Suceava,Suceava,str.,,Blaşcovici,"B3, B4",Megyeri Ştefan,Molovişte,Molovişte,Molovişte,5fdf48c4-c9d0-4954-ba39-f2f8d029478c
783,Sucului,Sucului,str.,,Lunei,G5,Sucului,,,,294101aa-f96b-4144-9266-7285de373645
784,Sudului,Sudului,bv,,Spital Soarelui,"F7, F8",,,,,95a661c4-4236-4d19-9d49-12ba17e2d9dd
785,Sulina,Sulina,str.,,Dâmboviţa-Andreescu,"A10, Z9",,,,,0befec9b-2a9b-4fba-b22a-3a3b8c563b23
786,Sunetului,Sunetului,intr.,,Lipovei,E I,,,,,6a1e0f73-b480-47a4-9ac8-44bae0e3031e
787,Surduc,Surduc,intr.,,Campus Univ.,E5,,,,,34f7a9a1-dfa7-44e6-b61b-2b454fc08865
1198,Surorile Martir Caceu,Negoiu,str.,HCJ 23/1993,Stadion,"E6, F6",Negoi,,Negoi,,4b65aa8a-d259-49a5-84e9-f5d5c81f1955
788,Şagului,Şagului,cale,,"C.Şagului,Dâmboviţa","B8,B10,A10",Şagului,Şagului,Şagului,Şagului,aeb9f0f5-6467-43f6-8628-df06c89a882b
790,Şcolii,Şcolii,str.,,Fabric,F4,Şcolii,Şcolii,Şcolii,Şcolii,e2b115d8-9e75-467b-a32e-4dc34de42f62
793,Ştefan Cel Mare,Ştefan Cel Mare,str.,,"Fabric,Lunei,Camp.Univ","F3, F5",Ştefan cel Mare,Ştefan cel Mare,Ştefan cel Mare,Ştefan cel Mare,2756d678-6e9f-4141-8bb6-11e915d1dd35
961,Ştefan Cicio Pop,Encsel Mauriciu,str.,DCJ 505/1990,Loga,E4,Mesteacănul,,,,35a13078-9360-4af2-a1b2-96107aad7271
2159,Ştefan Nădăşan,Paralelă Cu C.Bogdăneştilor,str.,HCL 169/2004,Bogdăneştilor,,,,,,8afb7a69-56d7-4642-a0ec-e21d71e31f07
794,Ştefan Octavian Iosif,Iosif Ştefan Octavian,str.,,"Lunei, Fabric",F4,Iosif Şt. Octavian,,,,2787009b-9c50-41e1-b07c-a0cf0ff385ea
2114,Ştefan Procopiu,Str. Nouă,str.,HCL 57/2004,"C. Aradului, Sere",,,,,,2938ec27-f027-4ff1-bd05-8f3c15b72aeb
2052,Ştefan Szonyi,Str. Nouă,str.,HCL 200/2002,Urseni-Legumiculturii,I10,,,,,d4bf8ca1-17f5-4407-8fcd-0b13c7fb0104
796,Ştiinţei,Ştiinţei,str.,,Dâmboviţa,A8,,,,,a4483b74-060b-4285-a79d-9979b86602b2
797,Ştrandului,Ştrandului,str.,,Modern,H 1-2,Zetrin Clara,Voniga,Voniga,Voniga,7afe6eab-7d46-4db9-8373-92a23eab0069
798,Taborului,Taborului,str.,,Balta Verde,Z5,Taborului,Taborului,Taborului,Taborului,5e6ac7df-dc2b-4dd3-8506-6d800e124b2b
