ext_id,current_name,former_name,type,document,district,guide_area,year_1956,year_1946,year_1940,year_1936,uuid
866,Vălişoara,Vălişoara,str.,,Ghiroda,"I4,I5,J5",Vălişoara,,,,1bbb8c8a-197a-4184-83e1-4ee0840e3383
867,Văliug,Văliug,str.,,Andreescu,Y9,Kossuth Lajos,,,,415713c7-ac80-4dd5-bb71-37e17a9461d1
867,Văliug,Se Prelungeşte Str. Văliug Până În Str. Podgoriei,str.,HCL 355/2008,Freidorf,,,,,,40baf2b9-3985-4346-a417-dd8824576e63
868,Vărădia,Vărădia,str.,,Campus Univ.,F5,Lăptarilor,Lăptarilor,Lăptarilor,Lăptarilor,c53e8375-29e1-4a62-ac99-5ea74de3342a
870,Vega,Vega,intr.,,Spital,F8,,,,,fa2325c2-b6c0-4985-b5e4-b81443acb111
871,Vegetaţiei,Vegetaţiei,str.,,Dâmboviţa,B8,,,,,5a0546b1-0761-4d57-9bae-990a82b4bf02
1058,Venus,Petroliştilor,intr.,HCJ 23/1993,Venus,G8,,,,,5328ab2c-d39e-4b62-94ea-f3872e837477
1058,Venus,Venus,str.,,Venus-Soarelui,G8,,,,,9d94cad7-2dd5-47ea-bb06-c066c86994d9
874,Verde,Verde,str.,,Viilor,"E I, E1",Verde,,,,82ff3cc8-d00a-45fe-b405-92af761dd997
510,Veronica Micle,Micle Veronica,str.,,Blaşcovici,A4,Micle Veronica,Micle Veronica,Micle Veronica,Micle Veronica,76869271-3b73-4f6a-af5b-efc1ab9904fc
877,Versului,Versului,str.,,Spital,E 8,,,,,743814a0-4a39-4715-98a1-8e1b305afa50
878,Veveriţei,Veveriţei,alee,,Dâmboviţa,A8,,,,,af723c85-34a2-46be-9e1a-ebe3b4df58d5
63,Victor Babeş,Babeş Victor,bv.,,Campus Univ.-Piaţa Crucii,"D6, E6",Babeş Victor,,,,0b09f0a7-ff77-4db0-9801-d6e476864d4c
2211,Victor Gaga,Între Str.Mureş Şi Str.Mareşal C-Tin Prezan Nr.120 Şi 120A,str.,HCL 498/2006,Lidia-Mureş,,,,,,b741c201-40ca-4b5f-a9b2-ef4376ad9cbb
382,Victor Hugo,Hugo Victor,str.,,Frat.C.Şag.Miloia,"B9,C9,C10",Hugo Victor,,,,179fcdb1-4ffd-4524-8996-3224dc2b180b
1208,Victor Vâlcovici,Zaharina,str.,HCJ 23/1993,Miloia,"D9, D10",Zaharina,Zaharina,Zaharina,Zaharina,657aeb74-d125-4cac-b1e8-f951eb18fec6
898,Victor Vlad Delamarina,Vlad Delamarina Victor,str.,,Cetate,D4,,,,,c56e5482-14ba-4eab-b449-2e3f72e1f93b
879,Victoriei,"30 Decembrie, Bulevard",piaţă,DEC.260/1990,Centru,"D4, D5",,,B-dul Regele Ferdinand,,4293f382-288f-4a78-9522-82e006aec180
880,Vidin,Vidin,str.,,Blaşcovici,"A4, B4",Vidin,Vidin,Vidin,Vidin,c484f618-a027-463f-a5d2-e76f631b8ac6
2313,Viforului,Viforului,intr.,DEZAFECTATĂ,Dâmboviţa,A9,,,,,d44164d4-7152-4a21-83b9-abb31c3eca76
885,Viilor,Viilor,alee,,"Mehala I, Gr. Alexandr.","A I, A1, B1",,,"Viilor, alee",,dad3c480-ce18-408d-a102-dc2c5dfb093a
886,Viitorului,Viitorului,str.,,Dâmboviţa,B9,,,Chiriac,,c0ca236f-08fd-4da4-ab4b-e87accaeb400
2251,Violetelor,"Str. Nouă, Doar Partea Cu Nr. Pare",str.,HCL 354/2008,Buziaşului,,,,,,9986f7be-4e89-4e19-9e16-a3557e202a8c
887,Viorelelor,Viorelelor,str.,,Dorobanţilor,"G2, G3",Viorelelor,Viorelelor,Viorelelor,Viorelelor,6352b7af-bc2d-4a74-b809-0fbab2cb87c3
97,Virgil Birou,Birou Virgil(I.Pintilie În1980),str.,,Campus Universitar,E5,Speranţei,Speranţei,,Speranţei,964e2ab4-846e-4e01-b005-a2490d76e454
967,Virgil Madgearu,Griviţa Roşie,str.,DEC.505/1990,Elisabetin,"C6, D5, D6",Griviţa Roşie,Bălaşa Domniţa,,Bălaşa Domniţa,a62bb957-1164-4c03-8f06-e8666f15f8c0
1210,Virgil Oniţiu,Şoimoş,str.,HCJ 23/1993,Elisabetin,"C6,D6",Şoimoş,Oniţiu Virgil,Oniţiu Virgil,Oniţiu Virgil,d9b44c05-7f87-48e5-add4-af4de2056af4
2145,Virgil Simionescu,Intr. Nouă,intr.,HCL 151/2001,Freidorf (Slavici ),"A10, B10",,,,,ba298366-aad1-454c-9f88-2b40f6913fff
888,Virgiliu,Virgiliu,str.,,Lunei,"G5, G6",Virgiliu,Virgiliu,Virgiliu,Virgiliu,a4694661-c42a-46e8-94e0-aee59ac62450
890,Virtuţii,Virtuţii,str.,,Kogălniceanu,F2,Virtuţii,Virtuţii,Virtuţii,Virtuţii,e2ed0cb1-7528-4ac9-8a5b-f5227a9c8916
892,Vişinului,Vişinului,intr.,,C.Martirilor,"D7, E7",,,,,1c944fb8-421a-4ad2-9f33-1a07d96bcd13
2054,Vlad Bănăţeanu,Str. Nouă,str.,HCL 200/2002,Torontal,D1,,,,,6b39fe6d-fc6b-429d-a41b-ace359b5f230
901,Vlădeasa,Vlădeasa,str.,,Piaţa Crucii,D8,,,,,8623fd39-2350-4dc0-a8d3-8649a93695a3
902,Vlăsiei,Vlăsiei,str.,,Dâmboviţa,"B7, B8",,,,,813cf52a-77c1-43f1-b289-5c6f00521c4a
903,Volta,Volta,str.,,Lipovei,"E1, F1",Volta,Volta,Volta,Volta,591d012f-98cf-4ff7-a20f-197a46c5632c
904,Vrancea,Vrancea,str.,,Mehala Ii,"A3, B3",Grigorescu,Grigorescu,Grigorescu,Grigorescu,6be700e0-b13e-4ab3-b4d9-883a39ae54bb
608,Vuc St. Karadzic,Paroşeni,str.,HCJ 23/1993,Mehala I,"A2,B1,B2",Sârbu Filimon,Bandu,Bandu,Bandu,28ef9e03-4775-4dba-bdd3-ed3645e3287f
906,Vulturilor,Vulturilor,str.,,Dâmboviţa,"A6,A8,B8",Popovici Borceanu,Popovici Borceanu,Popovici Borceanu,Popovici Borceanu,01384f16-45bb-4748-9a02-6c424e995261
2100,Wilhelm Tell,Str. Nouă,str.,HCJ 5/2000,Freidorf,C10,,,,,0bbdd317-8ec7-463a-91f6-7777925942a4
713,Wiliam Konrad Rontgen,Rontgen Wiliam Konrad,str.,,Stadion,F6,Roentgen W.Konrad,Roentgen W.Konrad,Roentgen W.Konrad,Roentgen W.Konrad,3c8d0f57-ce9f-46d9-bb0f-b125054985e8
744,William Shakespeare,Shakespeare W.,str.,,Fratelia -Miloia,"D9, D10",,,,,2ab3322a-9dc5-4d09-bb8b-d12613bef553
910,Zalău,Zalău,str.,,Blaşcovici,"B3, B4",Zalău,Zalău,Zalău,,a0f38857-04b6-404b-9f6d-9e190c28f80c
2253,Zambilelor,Str. Nouă Perp. Pe Str. Dafinului,str.,HCL 354/2008,Buziaşului,,,,,,2b547572-91b7-46a1-bb2d-01357e44fec0
1245,Zânelor,Zânelor,intr.,,Circumv.Ii-Iv,C2,,,,,2d786497-32f9-4910-8f3c-b5c068a6cada
911,Zarand,Zarand,str.,,C.Şagului,"B9, C9",Bernat Andrei,Kaltnecker,"Kaltnecker, Bernat Andrei",Kaltnecker,0ccabfc0-90ff-4ce3-8b56-33c49b8c2e62
912,Zănoaga,Zănoaga,str.,,Ronaţ,Z5,Marimescu dr.,Marinescu dr.,Marinescu dr.,,ce762b66-6665-4f5a-88a2-c427f3083c3c
913,Zăvoi,Zăvoi,str.,,Fabric,F3,Pannet ing.,Mercur,Mercur,Mercur,cc369936-53e8-4ba7-aea9-e756de7426a8
915,Zefirului,Zefirului,str.,,Kuncz,H5,,,,,44eaf984-73c8-4961-8316-716e4d3a4b62
916,Zenit,Zenit,intr.,,Circumv. I,"C3, D3",,,,,c802986e-6276-4bbb-9146-122432e81ccc
917,Zidului,Zidului,intr.,,C.Şagului,"B9, C9",,,,,62bd64d9-6891-44c3-bfb2-2fe02e9aead4
918,Zimbrului,Zimbrului,str.,,Tipografilor,"E2, E3",Roşu Ion,Neptun,,Neptun,092ec227-e236-41f6-ba17-31f6c1aebd24
919,Zimnicea,Zimnicea,str.,,Crişan,"G2,H2,H3",Ioanovici Dascăl,Ioanovici Dascăl,Ioanovici Dascăl,Ioanovici Dascăl,461994e6-cb9f-483a-9b84-b582a7cdc737
920,Zlatna,Zlatna,str.,,Fabric,F3,Zlatna,Zlatna,Zlatna,Zlatna,d49fa1c9-8e10-4529-b621-553a2f3e1bae
923,Zorile,Zorile,str.,,Blaşcovici,"A4, B4",Zorile,Zorile,Zorile,Zorile,73b79101-a015-4b1c-98dd-da5e4f8ea710
926,Zurich,Zurich,str.,,Kogălniceanu,"F1, F2",Zurich,Zurich,Zurich,Zurich,57760c56-d913-4a23-b7d5-1f243989b4b1
925,Zurobara,Zurobara,str.,,Tipografilor,E3,Zurobara,Zurobara,Zurobara,Zurobara,e82ecb75-5225-406c-a7a1-f2085a7c551c
